Station,Depth,Original_station_cast,Expt_Date,Latitude,Longitude,Max_Depth,Temperature,Salinity,Turbidity,Chlorophyll,Oxygen,Conductivity,Density,Pressure,Measured_depth,Nitrate,Phosphate,Silicate,TON,Nitrite,Total_Phyto,Synecho,Dogger,Fraction_Syencho,Fraction_Dogger,Total_Bacteria,HNA,LNA,Fraction_HNA,Total_Viruses,V1,V2,V3,Fraction_V1,Fraction_V2,Fraction_V3,VBR,Phyto_Sample_Name,Bacterial_Sample_Name,Viral_Sample_Name,Location,Station_Number,Location_Station_Number
2,15,64PE477_S04C01,,,,34.494,15.8185,34.5192,0.882,0.2888,240.998,43.194427,1025.36662133119,15.192,15.056,,,,,,35909.3023255814,31827.9069767442,4.65116279069767,0.886341558189236,0.000129525289812836,,,,,,,,,,,,,Cruise_NorthSea_PE477_Algae_PE477_2_15m.fcs,,,PE477,2,PE477_2
2,30,64PE477_S04C01,,,,34.494,15.8308,34.5193,1.6954,0.5143,241.454,43.213186,1025.43022084152,30.287,30.014,,,,,,36137.2093023256,32031.7829457364,5.42635658914729,0.886393375807109,0.000150159812943776,,,,,,,,,,,,,Cruise_NorthSea_PE477_Algae_PE477_2_30m.fcs,,,PE477,2,PE477_2
3,7,64PE477_S05C01,2020-09-18,54.464889,0.884639,54.771,13.4603,34.2962,0.456,0.3147,247.63,40.668585,1025.66846669076,7.394,7.328,0.44,0.19,0.03555,0.5,0.06,27093.7984496124,16166.6666666667,5.42635658914729,0.596692512374467,0.000200280392549569,722446.457990115,429122.332189617,293324.125800498,0.593984962406015,37050247.1169687,26515367.9737221,9230582.52772321,1304296.61552337,0.715659679408138,0.249136868064118,0.0352034525277435,51.2844193603557,Cruise_NorthSea_PE477_Algae_PE477_3_7m.fcs,BA210507.016,VI210507.025,PE477,3,PE477_3
3,15,64PE477_S05C01,2020-09-18,54.464889,0.884639,54.771,13.4044,34.2963,0.4471,0.3205,247.319,40.618631,1025.71319128184,14.893,14.759,1.56,0.3,0.03555,1.76,0.2,23818.6046511628,14201.5503875969,0,0.596237713988153,0,709843.492586491,416030.012176778,293813.480409713,0.586086956521739,36558484.3492586,26798754.1475372,8609647.42835983,1150082.77336161,0.733037887772299,0.235503401785157,0.0314587104425442,51.5021758050479,Cruise_NorthSea_PE477_Algae_PE477_3_15m.fcs,BA210507.017,VI210507.026,PE477,3,PE477_3
3,30,64PE477_S05C01,2020-09-18,54.464889,0.884639,54.771,12.7768,34.318,0.7296,0.1036,233.617,40.050063,1025.92420802811,30.378,30.103,0.71,0.23,0.03555,0.79,0.08,12302.3255813953,8336.77863910422,0,0.677658755163481,0,777800.658978583,442729.073507492,335071.585471091,0.569206349206349,34008237.2322899,24419951.7867194,8367628.18818369,1220657.25738688,0.718059910601108,0.246047101207552,0.0358929881913403,43.7235901509134,Cruise_NorthSea_PE477_Algae_PE477_3_30m.fcs,BA210507.018,VI210507.027,PE477,3,PE477_3
4,7,64PE477_S07C01,2020-09-19,54.414083,0.084694,58.878,13.3651,34.1425,0.4968,0.733,199.755,40.414506,1025.5676469926,6.83,6.768,0.65,0.19,0.15,0.75,0.1,14047.2868217054,6852.71317829457,0.775193798449612,0.487831797362177,5.51845924617847e-05,867009.884678748,583768.54667632,283241.338002428,0.673312446596411,39775947.2817133,29932416.3692441,8608210.2614526,1235320.65101667,0.752525544074352,0.216417479651331,0.0310569762743174,45.8771554795497,Cruise_NorthSea_PE477_Algae_PE477_4_7m.fcs,BA210507.019,VI210507.028,PE477,4,PE477_4
4,15,64PE477_S07C01,2020-09-19,54.414083,0.084694,58.878,13.3865,34.1284,0.4923,0.3127,190.065,40.423485,1025.5891273408,15.068,14.932,2.24,0.29,0.44,2.36,0.12,14541.8604651163,12165.1162790698,1.55038759689922,0.836558451943067,0.000106615491230876,632495.881383855,361179.34210171,271316.539282145,0.57103825136612,33649917.6276771,25765626.7688075,6870984.93192464,1013305.92694501,0.765696577741849,0.204190245216923,0.0301131770412288,53.2017972260207,Cruise_NorthSea_PE477_Algae_PE477_4_15m.fcs,BA210507.020,VI210507.029,PE477,4,PE477_4
4,30,64PE477_S07C01,2020-09-19,54.414083,0.084694,58.878,11.7995,34.3335,0.6707,0.1188,214.698,39.13961,1026.12468794751,30.48,30.205,3.01,0.34,0.64,3.15,0.14,9968.21705426356,8561.24031007752,0,0.85885372112917,0,629283.360790774,341427.574724849,287855.786065925,0.542565712043939,34603789.1268534,26855993.9251088,6782160.90240692,965634.299337668,0.776099803020355,0.195994747209455,0.0279054497701904,54.9892008639309,Cruise_NorthSea_PE477_Algae_PE477_4_30m.fcs,BA210507.021,VI210507.030,PE477,4,PE477_4
5,7,64PE477_S10C01,2020-09-20,55.045472,1.233139,24.731,15.6665,34.1527,0.7897,0.2685,163.424,42.63346,1025.08627447589,6.983,6.92,0.11,0.18,0.03555,0.14,0.03,128952.713178295,90377.519379845,10.8527131782946,0.700857835033574,8.41604097409663e-05,1562891.26853377,913724.482741651,649166.785792122,0.584637268847795,54172981.878089,39436826.2391272,12473195.1017415,2262960.53722027,0.727979610350339,0.23024752689101,0.0417728627586505,34.6620286188632,Cruise_NorthSea_PE477_Algae_PE477_5_7m.fcs,BA210507.022,VI210507.031,PE477,5,PE477_5
5,15,64PE477_S10C01,2020-09-20,55.045472,1.233139,24.731,15.6759,34.4324,0.82,0.2641,236.533,42.958374,1025.33249317818,15.124,14.987,0.11,0.19,0.03555,0.14,0.03,129789.92248062,90027.1317829457,7.75193798449612,0.693637302976187,5.9726809573013e-05,1646416.80395387,982168.524009091,664248.27994478,0.596549137284321,52396210.8731466,37915421.2519859,12238241.1397421,2242548.48141867,0.723629068212216,0.233571110120374,0.0427998216674097,31.8243902439024,Cruise_NorthSea_PE477_Algae_PE477_5_15m.fcs,BA210507.023,VI210507.032,PE477,5,PE477_5
