"Location","Station_Number","Location_Station_Number","Depth","Phyto_Sample_Name","Total_Phyto","Synecho","Dogger","Station","Fraction_Syencho","Fraction_Dogger"
"PE486","7","PE486_7","7","Cruise_NorthSea_PE486_Algae_PE486_7_7m.fcs",13900.9345794393,1645.79439252336,485.046728971963,"13.2",0.118394513916902,0.0348931020572812
"PE486","7","PE486_7","15","Cruise_NorthSea_PE486_Algae_PE486_7_15m.fcs",13732.7102803738,1406.54205607477,4841.1214953271,"13.2",0.102422757588131,0.352524840070777
"PE486","7","PE486_7","30","Cruise_NorthSea_PE486_Algae_PE486_7_30m.fcs",15466.3551401869,1171.96261682243,9066.35514018692,"13.2",0.0757749712973594,0.586198561846637
"PE486","8","PE486_8","7","Cruise_NorthSea_PE486_Algae_PE486_8_7m.fcs",19128.0373831776,4129.90654205607,266.355140186916,"14",0.215908535691601,0.0139248546440612
"PE486","8","PE486_8","15","Cruise_NorthSea_PE486_Algae_PE486_8_15m.fcs",15977.5700934579,3670.09345794392,271.96261682243,"14",0.229702854468882,0.0170215255030416
"PE486","8","PE486_8","30","Cruise_NorthSea_PE486_Algae_PE486_8_30m.fcs",6484.11214953271,2950.46728971963,310.280373831776,"14",0.455030268088786,0.0478524070337273
"NJ2020","1","NJ2020_1","1","NJ_Algae_NJ_1.fcs",29579.0697674419,14574.4186046512,8.52713178294574,"NJ-1",0.492727415677333,0.000288282621799408
"NJ2020","2","NJ2020_2","1","NJ_Algae_NJ_2.fcs",21409.3023255814,10068.2170542636,0.775193798449612,"NJ-2",0.470273010355565,3.62082699688609e-05
"NJ2020","3","NJ2020_3","1","NJ_Algae_NJ_3.fcs",76712.4031007752,45051.9379844961,23.2558139534884,"NJ-3",0.587283622510333,0.000303155852423731
"NJ2020","4","NJ2020_4","1","NJ_Algae_NJ_4.fcs",81290.6976744186,49104.6511627907,13.953488372093,"NJ-4",0.604062365899013,0.000171649263338578
"NJ2020","5","NJ2020_5","1","NJ_Algae_NJ_5.fcs",11358.1395348837,1862.01550387597,0,"NJ-5",0.163936663936664,0
"NJ2020","6","NJ2020_6","1","NJ_Algae_NJ_6.fcs",21353.1438415159,3503.01464254953,5.16795865633075,"NJ-6",0.164051470291638,0.00024202331491267
"NJ2020","7","NJ2020_7","1","NJ_Algae_NJ_7.fcs",11360.4651162791,2030.23255813953,0.775193798449612,"NJ-7",0.17871033776868,6.82360968952576e-05
