"Location","Station_Number","Bacterial_Sample_Name","Viral_Sample_Name","Expt_Date","Total_Bacteria","HNA","LNA","Total_Viruses","V1","V2","V3","VBR","Latitude","Longitude","Depth","TON","Nitrite","Phosphate","Silicate","Nitrate","Temperature","Salinity","Location_Station_Number","Station","Fraction_HNA","Fraction_V1","Fraction_V2","Fraction_V3"
"PE477",6,"BA210507.005","VI210507.009",2020-09-21,865156.507413509,460347.18582773,404809.321585779,36079077.4299835,24830681.4110609,9534764.34528113,1713631.67364146,41.7023707512139,55.549833,1.346333,7,0.79,0.01965,0.12,0.03555,0.77035,16.3,34.8,"PE477_6","6",0.532097004279601,0.688229388881917,0.264274061990212,0.0474965491278705
"PE477",7,"BA210507.010","VI210507.014",2020-09-22,1198023.06425041,735554.556554406,462468.507696006,55025535.4200988,38395492.2221753,13347859.1745599,3282184.02336366,45.9302805280528,54.923556,3.701306,15,0.007645,0.01965,0.09,0.03555,0.000175,16.1,34.8,"PE477_7","7",0.613973619126134,0.697775894937513,0.242575725481889,0.0596483795805973
"PE477",7,"BA210507.011","VI210507.015",2020-09-22,1178747.94069193,691100.855885359,487647.084806568,54002471.169687,37187679.0384158,13654887.2812317,3159904.85003947,45.8134171907757,54.923556,3.701306,30,0.05,0.01965,0.12,0.03555,0.03035,16.1,34.8,"PE477_7","7",0.586300795978215,0.688629209607175,0.252856711655384,0.0585140787374412
"PE477",7,"BA210507.009","VI210507.012",2020-09-22,1187149.91762768,723450.344976933,463699.572650744,54155683.6902801,37778323.0181066,13342704.6773154,3034655.99485808,45.6182348043297,54.923556,3.701306,7,0.23,0.01965,0.14,0.03555,0.21035,16.1,34.8,"PE477_7","7",0.609400998336107,0.697587408076377,0.246376811594203,0.0560357803294199
"PE486",1,"BA210506.107","VI210506.095",2021-04-14,964003.294892916,544065.921076655,419937.373816261,23256795.7166392,18296608.0980103,4425358.22845234,534829.390176592,24.1252243014612,53.677278,4.131944,15,4.47,0.1,0.3,0.305,4.37,6.1,34.1,"PE486_1","8",0.564381806534273,0.786720936148563,0.19028237089799,0.022996692953447
"PE486",1,"BA210506.108","VI210506.096",2021-04-14,1005642.50411862,549138.611313113,456503.892805503,27487438.2207578,22539961.3643504,4385317.71432169,562159.142085779,27.3332104681165,53.677278,4.131944,30,3.88,0.09,0.26,0.22,3.79,6.1,34.1,"PE486_1","8",0.546057479734709,0.820009532475411,0.159538974825599,0.0204514926989904
"PE486",1,"BA210506.106","VI210506.094",2021-04-14,911243.822075783,507618.881638854,403624.940436928,20372940.6919275,15389386.0639212,4455441.33370021,528113.294306071,22.3572881355932,53.677278,4.131944,7,6.03,0.11,0.34,0.42,5.92,6.1,34.1,"PE486_1","8",0.557061534291136,0.755383638358062,0.218694070781133,0.0259222908608048
"PE486",2,"BA210506.110","VI210506.098",2021-04-15,1192462.9324547,651444.945697748,541017.986756947,33907537.0675453,28243689.2312936,5045057.76987314,618790.066378546,28.4348772147964,54.469083,4.222222,15,1.74,0.06,0.12,0.075,1.68,6.4,34.2,"PE486_2","9",0.546302050963331,0.832961980548188,0.148788682581786,0.0182493368700265
"PE486",2,"BA210506.111","VI210506.099",2021-04-15,1113261.94398682,575467.369026362,537794.574960459,28650123.5584843,22423910.1956497,5487894.19203108,738319.170803573,25.7352941176471,54.469083,4.222222,30,3.43,0.075,0.2,0.385,3.355,6,34.2,"PE486_2","9",0.516920004438034,0.782681099084097,0.191548709408826,0.0257701915070774
"PE486",2,"BA210506.109","VI210506.097",2021-04-15,1128088.96210873,639699.193557552,488389.76855118,22428953.8714992,16790112.8481299,4964259.3715059,674581.651863367,19.8822562979189,54.469083,4.222222,7,1.245,0.06,0.08,0.03555,1.185,6.5,34.2,"PE486_2","9",0.567064491404796,0.748590992889123,0.221332631024493,0.030076376086384
