"Overlay","Filename","Gate","Total_Events","SSCA_geometric_mean","FL_geometric_mean","percent_gated_cells","percent_all_cells","Location","Station_Number","Depth","Acquisition_Duration","Flow_Rate","cells_per_mL"
1,"Cruise_NorthSea_PE486_Algae_PE486_5_15m.fcs","total_phyto",6748,"##ERROR##","1584.49",90.88,90.88,"PE486","5","15",10,107,6306.54205607477
1,"Cruise_NorthSea_PE486_Algae_PE486_6_7m.fcs","total_phyto",10253,"##ERROR##","979.46",96.38,96.38,"PE486","6","7",10,107,9582.24299065421
1,"Cruise_NorthSea_PE486_Algae_PE486_6_15m.fcs","total_phyto",6042,"##ERROR##","1499.23",95.22,95.22,"PE486","6","15",10,107,5646.72897196262
1,"Cruise_NorthSea_PE486_Algae_PE486_7_7m.fcs","total_phyto",14874,"##ERROR##","774.57",97.16,97.16,"PE486","7","7",10,107,13900.9345794393
1,"Cruise_NorthSea_PE486_Algae_PE486_7_15m.fcs","total_phyto",14694,"##ERROR##","2072.89",96.49,96.49,"PE486","7","15",10,107,13732.7102803738
1,"Cruise_NorthSea_PE486_Algae_PE486_7_30m.fcs","total_phyto",16549,"4750.79","3989.46",95.92,95.92,"PE486","7","30",10,107,15466.3551401869
1,"Cruise_NorthSea_PE486_Algae_PE486_8_7m.fcs","total_phyto",20467,"##ERROR##","779.07",98.32,98.32,"PE486","8","7",10,107,19128.0373831776
1,"Cruise_NorthSea_PE486_Algae_PE486_8_15m.fcs","total_phyto",17096,"##ERROR##","805.99",96.97,96.97,"PE486","8","15",10,107,15977.5700934579
1,"Cruise_NorthSea_PE486_Algae_PE486_8_30m.fcs","total_phyto",6938,"##ERROR##","1588.62",84.53,84.53,"PE486","8","30",10,107,6484.11214953271
1,"NJ_Algae_NJ_1.fcs","total_phyto",38157,"##ERROR##","931.78",74.26,74.26,"NJ","1","1",10,129,29579.0697674419
1,"NJ_Algae_NJ_2.fcs","total_phyto",27618,"##ERROR##","1122.56",71.98,71.98,"NJ","2","1",10,129,21409.3023255814
1,"NJ_Algae_NJ_3.fcs","total_phyto",98959,"##ERROR##","677.21",92.69,92.69,"NJ","3","1",10,129,76712.4031007752
1,"NJ_Algae_NJ_4.fcs","total_phyto",104865,"##ERROR##","617.58",95.54,95.54,"NJ","4","1",10,129,81290.6976744186
1,"NJ_Algae_NJ_5.fcs","total_phyto",14652,"##ERROR##","1277.4",67.24,67.24,"NJ","5","1",10,129,11358.1395348837
1,"NJ_Algae_NJ_6.fcs","total_phyto",24791,"##ERROR##","979.72",58.67,58.67,"NJ","6","1",9,129,21353.1438415159
1,"NJ_Algae_NJ_7.fcs","total_phyto",14655,"##ERROR##","1819.8",70.31,70.31,"NJ","7","1",10,129,11360.4651162791
1,"Cruise_NorthSea_PE477_Algae_PE477_1_7m.fcs","synecho",33140,"175.54","966.47",59.47,59.47,"PE477","1","7",10,129,25689.9224806202
1,"Cruise_NorthSea_PE477_Algae_PE477_2_7m.fcs","synecho",40389,"122.85","886.42",89.09,89.09,"PE477","2","7",10,129,31309.3023255814
1,"Cruise_NorthSea_PE477_Algae_PE477_2_15m.fcs","synecho",41058,"123.01","851.46",85.82,85.82,"PE477","2","15",10,129,31827.9069767442
1,"Cruise_NorthSea_PE477_Algae_PE477_2_30m.fcs","synecho",41321,"118.72","821.31",82.72,82.72,"PE477","2","30",10,129,32031.7829457364
1,"Cruise_NorthSea_PE477_Algae_PE477_3_7m.fcs","synecho",20855,"154.09","818.52",59.1,59.1,"PE477","3","7",10,129,16166.6666666667
1,"Cruise_NorthSea_PE477_Algae_PE477_3_15m.fcs","synecho",18320,"152.31","837.35",58.8,58.8,"PE477","3","15",10,129,14201.5503875969
1,"Cruise_NorthSea_PE477_Algae_PE477_3_30m.fcs","synecho",9679,"164.74","1265.47",57.73,57.73,"PE477","3","30",9,129,8336.77863910422
1,"Cruise_NorthSea_PE477_Algae_PE477_4_7m.fcs","synecho",8840,"158.34","859.47",47.8,47.8,"PE477","4","7",10,129,6852.71317829457
1,"Cruise_NorthSea_PE477_Algae_PE477_4_15m.fcs","synecho",15693,"131.46","725.95",80.73,80.73,"PE477","4","15",10,129,12165.1162790698
1,"Cruise_NorthSea_PE477_Algae_PE477_4_30m.fcs","synecho",11044,"137.88","919.19",81.32,81.32,"PE477","4","30",10,129,8561.24031007752
1,"Cruise_NorthSea_PE477_Algae_PE477_5_7m.fcs","synecho",116587,"143.02000000000001","864.78",69.8,69.8,"PE477","5","7",10,129,90377.519379845
1,"Cruise_NorthSea_PE477_Algae_PE477_5_15m.fcs","synecho",116135,"143.94999999999999","829.58",69.09,69.09,"PE477","5","15",10,129,90027.1317829457
1,"Cruise_NorthSea_PE477_Algae_PE477_5_30m.fcs","synecho",36633,"158.94","1231.86",68.77,68.77,"PE477","5","30",10,129,28397.6744186046
1,"Cruise_NorthSea_PE477_Algae_PE477_6_7m.fcs","synecho",102903,"104.83","625.84",83.87,83.87,"PE477","6","7",10,129,79769.7674418605
1,"Cruise_NorthSea_PE477_Algae_PE477_6_15m.fcs","synecho",104643,"105.25","635.21",83.98,83.98,"PE477","6","15",10,129,81118.6046511628
1,"Cruise_NorthSea_PE477_Algae_PE477_6_30m.fcs","synecho",29418,"121.53","877.65",80.77,80.77,"PE477","6","30",10,129,22804.6511627907
1,"Cruise_NorthSea_PE477_Algae_PE477_7_7m_Bottle3.fcs","synecho",236691,"107.84","471.71",85.81,85.81,"PE477","7","7",10,129,183481.395348837
1,"Cruise_NorthSea_PE477_Algae_PE477_7_15m.fcs","synecho",234069,"108.79","494.51",86.33,86.33,"PE477","7","15",10,129,181448.837209302
1,"Cruise_NorthSea_PE477_Algae_PE477_7_30m.fcs","synecho",192166,"112.67","645.41",87.78,87.78,"PE477","7","30",10,129,148965.891472868
1,"Cruise_NorthSea_PE486_Algae_PE486_1_7m.fcs","synecho",4864,"380.54","963.01",44.37,44.37,"PE486","1","7",10,107,4545.79439252336
1,"Cruise_NorthSea_PE486_Algae_PE486_1_15m.fcs","synecho",5503,"370.37","853.26",41.68,41.68,"PE486","1","15",10,107,5142.99065420561
1,"Cruise_NorthSea_PE486_Algae_PE486_1_30m.fcs","synecho",5472,"358.2","914.03",45.14,45.14,"PE486","1","30",10,107,5114.01869158878
1,"Cruise_NorthSea_PE486_Algae_PE486_2_7m.fcs","synecho",2685,"392.03","736.1",24.49,24.49,"PE486","2","7",10,107,2509.34579439252
1,"Cruise_NorthSea_PE486_Algae_PE486_2_15m.fcs","synecho",2903,"245.36","759.04",29.22,29.22,"PE486","2","15",10,107,2713.08411214953
1,"Cruise_NorthSea_PE486_Algae_PE486_2_30m.fcs","synecho",2213,"246.71","918.98",35.79,35.79,"PE486","2","30",10,107,2068.22429906542
1,"Cruise_NorthSea_PE486_Algae_PE486_3_7m.fcs","synecho",628,"245.73","1047.43",7.16,7.16,"PE486","3","7",10,107,586.915887850467
1,"Cruise_NorthSea_PE486_Algae_PE486_3_15m.fcs","synecho",613,"250.98","1043.81",5.5,5.5,"PE486","3","15",10,107,572.897196261682
1,"Cruise_NorthSea_PE486_Algae_PE486_4_7m.fcs","synecho",2495,"247.26","617.51",16.1,16.1,"PE486","4","7",10,107,2331.77570093458
1,"Cruise_NorthSea_PE486_Algae_PE486_4_15m.fcs","synecho",2417,"251.75","645.22",14.89,14.89,"PE486","4","15",10,107,2258.8785046729
1,"Cruise_NorthSea_PE486_Algae_PE486_4_30m.fcs","synecho",1915,"230.26","1112.3",27.38,27.38,"PE486","4","30",10,107,1789.71962616822
1,"Cruise_NorthSea_PE486_Algae_PE486_5_7m.fcs","synecho",2847,"245.52","1227.17",38.07,38.07,"PE486","5","7",10,107,2660.7476635514
1,"Cruise_NorthSea_PE486_Algae_PE486_5_15m.fcs","synecho",2881,"240.79","1224.9",38.8,38.8,"PE486","5","15",10,107,2692.52336448598
