file_name,pop,count
BA210506.137,LNA_Bacteria,4313
BA210506.137,Viruses,20492
BA210506.137,V1,0
BA210506.137,V2,12560
BA210506.137,V3,7285
BA210506.154,root,15
BA210506.154,Bacteria,1
BA210506.154,HNA_Bacteria,0
BA210506.154,LNA_Bacteria,1
BA210506.154,Viruses,1
BA210506.154,V1,0
BA210506.154,V2,1
BA210506.154,V3,0
BA210506.155,root,33075
BA210506.155,Bacteria,9337
BA210506.155,HNA_Bacteria,4919
BA210506.155,LNA_Bacteria,4418
BA210506.155,Viruses,18951
BA210506.155,V1,0
BA210506.155,V2,11736
BA210506.155,V3,6576
BA210506.156,root,34515
BA210506.156,Bacteria,9597
BA210506.156,HNA_Bacteria,5382
BA210506.156,LNA_Bacteria,4215
BA210506.156,Viruses,20458
BA210506.156,V1,0
BA210506.156,V2,12610
BA210506.156,V3,7155
BA210506.157,root,32700
BA210506.157,Bacteria,10148
BA210506.157,HNA_Bacteria,6032
BA210506.157,LNA_Bacteria,4116
BA210506.157,Viruses,18302
BA210506.157,V1,0
BA210506.157,V2,11214
BA210506.157,V3,6339
BA210506.158,root,21030
BA210506.158,Bacteria,7821
BA210506.158,HNA_Bacteria,4339
BA210506.158,LNA_Bacteria,3482
BA210506.158,Viruses,11436
BA210506.158,V1,0
BA210506.158,V2,6495
BA210506.158,V3,4372
BA210506.159,root,19935
BA210506.159,Bacteria,6727
BA210506.159,HNA_Bacteria,3495
BA210506.159,LNA_Bacteria,3232
BA210506.159,Viruses,11009
BA210506.159,V1,0
BA210506.159,V2,6270
BA210506.159,V3,4211
BA210506.160,root,21780
BA210506.160,Bacteria,8096
BA210506.160,HNA_Bacteria,4673
BA210506.160,LNA_Bacteria,3423
BA210506.160,Viruses,11743
BA210506.160,V1,0
BA210506.160,V2,6701
BA210506.160,V3,4467
BA210506.161,root,19335
BA210506.161,Bacteria,6712
BA210506.161,HNA_Bacteria,3556
BA210506.161,LNA_Bacteria,3156
BA210506.161,Viruses,11345
BA210506.161,V1,0
BA210506.161,V2,6542
BA210506.161,V3,4384
BA210506.162,root,18885
BA210506.162,Bacteria,6673
BA210506.162,HNA_Bacteria,3418
BA210506.162,LNA_Bacteria,3255
BA210506.162,Viruses,10686
BA210506.162,V1,0
